0, 6, 27, 13, 5, 11, 7, 8, 21, 20, 19, 14, 16, 2, 1
2, 19, 15, 8, 29, 21, 21, 28, 20, 0, 25, 11, 9, 2, 1
2, 19, 29, 9, 3, 15, 23, 15, 13, 2, 11, 17, 5, 2, 1
2, 19, 0, 7, 26, 25, 5, 4, 15, 22, 29, 1, 14, 2, 0
0, 19, 11, 2, 15, 25, 11, 28, 21, 0, 13, 18, 4, 2, 1
27, 24, 25, 29, 14, 5, 26, 1, 0, 2, 5, 24, 16, 2, 1
18, 14, 25, 29, 8, 5, 7, 26, 14, 27, 21, 0, 19, 2, 1
19, 4, 25, 13, 18, 6, 7, 11, 4, 14, 19, 18, 17, 2, 0
29, 18, 16, 7, 15, 0, 8, 7, 22, 9, 15, 0, 0, 2, 1
0, 14, 9, 19, 18, 3, 9, 22, 13, 0, 12, 27, 0, 2, 0
29, 7, 0, 26, 11, 25, 1, 13, 7, 28, 18, 14, 5, 2, 0
2, 9, 14, 5, 27, 25, 25, 0, 7, 27, 12, 28, 7, 2, 1
18, 21, 7, 8, 29, 13, 29, 15, 0, 7, 19, 11, 7, 2, 0
5, 14, 2, 20, 21, 8, 19, 16, 17, 15, 14, 13, 2, 2, 1
0, 7, 8, 15, 2, 5, 15, 1, 2, 10, 19, 11, 3, 2, 0
2, 10, 19, 25, 1, 12, 1, 22, 11, 0, 27, 2, 4, 2, 0
11, 29, 6, 2, 27, 19, 1, 7, 14, 18, 24, 0, 19, 2, 1
2, 8, 20, 21, 6, 10, 11, 1, 5, 13, 15, 16, 18, 2, 1
13, 6, 25, 0, 1, 15, 25, 11, 22, 27, 0, 29, 1, 2, 0
25, 2, 22, 17, 6, 8, 29, 6, 1, 14, 27, 23, 7, 2, 1
2, 21, 6, 10, 26, 8, 2, 1, 10, 23, 25, 5, 8, 2, 1
29, 24, 19, 0, 15, 16, 23, 15, 6, 10, 7, 19, 17, 2, 1
0, 6, 1, 2, 18, 11, 22, 0, 19, 26, 14, 11, 1, 2, 0
2, 19, 1, 0, 8, 6, 6, 26, 0, 7, 5, 29, 9, 2, 1
0, 21, 8, 18, 11, 2, 12, 10, 23, 1, 25, 15, 2, 2, 1
15, 19, 29, 7, 21, 14, 9, 0, 13, 6, 19, 1, 8, 2, 1
11, 12, 15, 4, 0, 24, 25, 26, 11, 21, 13, 2, 13, 2, 1
15, 9, 13, 19, 12, 0, 13, 15, 1, 19, 19, 11, 6, 2, 0
26, 7, 20, 1, 29, 13, 11, 6, 27, 18, 14, 12, 1, 2, 1
12, 10, 7, 8, 2, 25, 29, 18, 13, 20, 1, 27, 13, 2, 0
27, 6, 0, 20, 29, 28, 11, 14, 19, 16, 15, 29, 4, 2, 0
19, 1, 11, 25, 15, 0, 6, 11, 13, 25, 21, 18, 14, 2, 0
2, 9, 4, 23, 19, 1, 19, 9, 25, 0, 24, 12, 15, 2, 1
13, 26, 15, 21, 1, 2, 0, 29, 20, 18, 8, 28, 6, 2, 1
0, 25, 15, 8, 1, 7, 15, 6, 7, 8, 13, 25, 11, 2, 1
15, 28, 0, 29, 4, 27, 27, 25, 5, 0, 6, 10, 5, 2, 1
10, 1, 25, 14, 12, 19, 2, 11, 6, 0, 15, 19, 17, 2, 0
26, 11, 14, 1, 27, 10, 16, 0, 19, 7, 1, 9, 16, 2, 1
